X;Y
3040000;2.0665706665923267E-6
3050000;2.059717582270082E-6
3060000;2.0535402418531135E-6
3070000;2.0475012210141585E-6
3080000;2.0400731584047094E-6
3090000;2.0334145540701343E-6
3100000;2.0266728419926494E-6
3110000;2.020719529483017E-6
3120000;2.0137166405476137E-6
3130000;2.007691077388074E-6
3140000;2.000553212866407E-6
3150000;1.995110586960891E-6
3160000;1.9885304469724474E-6
3170000;1.9821658012730836E-6
3180000;1.9760427445447704E-6
3190000;1.9693812456367255E-6
3200000;1.962953977141524E-6
3210000;1.9572818112933987E-6
3220000;1.951370456332313E-6
3230000;1.945402950731534E-6
3240000;1.9385084941703212E-6
3250000;1.933058425329648E-6
3260000;1.926610366353998E-6
3270000;1.9224060316958003E-6
3280000;1.9162731890176588E-6
3290000;1.909849064674063E-6
3300000;1.9046210164574973E-6
3310000;1.8977326119440363E-6
3320000;1.893094037974663E-6
3330000;1.886117818372668E-6
3340000;1.880949501931184E-6
3350000;1.8754758839278907E-6
3360000;1.8692622969496142E-6
3370000;1.8648379409569316E-6
3380000;1.858627149076142E-6
3390000;1.8533114456431576E-6
3400000;1.8480299379675103E-6
3410000;1.8430644148637043E-6
3420000;1.8371675443162871E-6
3430000;1.8317942851453495E-6
3440000;1.8261796403962194E-6
3450000;1.8207167675754476E-6
3460000;1.8160120500709809E-6
3470000;1.8103705929917169E-6
3480000;1.8055143238271398E-6
3490000;1.800416539410321E-6
3500000;1.7947472619184168E-6
3510000;1.7900654505353941E-6
3520000;1.7851400553325902E-6
3530000;1.7804642853391783E-6
3540000;1.7742713076529526E-6
3550000;1.769976352150593E-6
3560000;1.7650359547261019E-6
3570000;1.7599637587295547E-6
3580000;1.7555851137274203E-6
3590000;1.7506334941685964E-6
3600000;1.7448399036723572E-6
3610000;1.7405218155630564E-6
3620000;1.7350253438408458E-6
3630000;1.730888857132129E-6
3640000;1.7263845935033828E-6
3650000;1.7225106763163467E-6
3660000;1.7165539381025496E-6
3670000;1.712593366676174E-6
3680000;1.7068996225333422E-6
3690000;1.702310820306252E-6
3700000;1.6982802906184702E-6
3710000;1.6940749922866871E-6
3720000;1.6888418334914945E-6
3730000;1.68493375518608E-6
3740000;1.6797486113162563E-6
3750000;1.6760067866883332E-6
3760000;1.6713822086344976E-6
3770000;1.6668770275174438E-6
3780000;1.6626971683919578E-6
3790000;1.6569780685316005E-6
3800000;1.6527353592366012E-6
3810000;1.6497681647464901E-6
3820000;1.6454829721013198E-6
3830000;1.639835439881665E-6
3840000;1.6371424047534333E-6
3850000;1.6316138138350311E-6
3860000;1.6281109491700363E-6
3870000;1.6245415466187296E-6
3880000;1.6197727870093104E-6
3890000;1.6146436498942762E-6
3900000;1.611364217168898E-6
3910000;1.6062901861957357E-6
3920000;1.6034099932227264E-6
3930000;1.597583116463852E-6
3940000;1.5947268128257974E-6
3950000;1.5914983961806684E-6
3960000;1.5866862783653346E-6
3970000;1.5826324704093508E-6
3980000;1.5784572955368503E-6
3990000;1.5751709367961553E-6
4000000;1.5707718921120772E-6
4010000;1.5665626662553223E-6
4020000;1.5633505032752737E-6
4030000;1.5592467841329949E-6
4040000;1.555827499721829E-6
4050000;1.5509046829009776E-6
4060000;1.5479755903768933E-6
4070000;1.544214118354148E-6
4080000;1.540082577022872E-6
4090000;1.5357319993469787E-6
4100000;1.5325934334953217E-6
4110000;1.5296895323757553E-6
4120000;1.5249196287925315E-6
4130000;1.5211893265032472E-6
4140000;1.5178069086019264E-6
4150000;1.5143528351302393E-6
4160000;1.5099774186566606E-6
4170000;1.5058353577401817E-6
4180000;1.5028801794159108E-6
4190000;1.4996117503329742E-6
4200000;1.4962664485196342E-6
4210000;1.4929617577763565E-6
4220000;1.4891371975522816E-6
4230000;1.4841410447274939E-6
4240000;1.4818583116138484E-6
4250000;1.4787466087184953E-6
4260000;1.4753963997193864E-6
4270000;1.472294261617435E-6
4280000;1.4683466433851322E-6
4290000;1.4645956563086315E-6
4300000;1.4605930722666471E-6
4310000;1.4582303142773867E-6
4320000;1.4539533985669095E-6
4330000;1.4514191404302323E-6
4340000;1.4484236299239228E-6
4350000;1.4439321711634534E-6
4360000;1.440386479423239E-6
4370000;1.438337710268911E-6
4380000;1.4339332832236096E-6
4390000;1.4304804905052038E-6
4400000;1.4272211146248992E-6
4410000;1.4250266753279561E-6
4420000;1.4216171972947222E-6
4430000;1.4181400116441978E-6
4440000;1.415142031113703E-6
4450000;1.4125729315139779E-6
4460000;1.408540311054196E-6
4470000;1.405838901291645E-6
4480000;1.401816209778417E-6
4490000;1.3992304506160735E-6
4500000;1.3968232464023345E-6
4510000;1.3929955073876954E-6
4520000;1.3907505307386714E-6
4530000;1.3874787967438351E-6
4540000;1.383869282278738E-6
4550000;1.3811857142442818E-6
4560000;1.3781414098801292E-6
4570000;1.3752187077997746E-6
4580000;1.3722906038182714E-6
4590000;1.368423387937412E-6
4600000;1.3661287807664735E-6
4610000;1.3631114850198855E-6
4620000;1.3602255117817208E-6
4630000;1.3565268854875967E-6
4640000;1.3538583418792882E-6
4650000;1.3510349035072977E-6
4660000;1.3489664461019402E-6
4670000;1.345609377700896E-6
4680000;1.3418362740935663E-6
4690000;1.339177306824979E-6
4700000;1.3360211266189026E-6
4710000;1.333415696969098E-6
4720000;1.3303790282748196E-6
4730000;1.3279024946299955E-6
4740000;1.325775476956892E-6
4750000;1.3229555904104018E-6
4760000;1.320291352691072E-6
4770000;1.3169861547979167E-6
4780000;1.3141317118936513E-6
4790000;1.3112412480253965E-6
4800000;1.3092824202587394E-6
4810000;1.3057478813749412E-6
4820000;1.3038452548741475E-6
4830000;1.300606086829248E-6
4840000;1.29742987109438E-6
4850000;1.2952319252690359E-6
4860000;1.2936731792478895E-6
4870000;1.2896559491437642E-6
4880000;1.2879210817828834E-6
4890000;1.2852385919970288E-6
4900000;1.2816983501195978E-6
4910000;1.279210294136135E-6
4920000;1.2774089821476764E-6
4930000;1.2753471940740724E-6
4940000;1.2706936125539414E-6
4950000;1.2699086635592494E-6
4960000;1.2665364836905724E-6
4970000;1.2645477074357814E-6
4980000;1.2613914082137967E-6
4990000;1.2591632447822576E-6
5000000;1.2560265583161367E-6
5010000;1.2553411332660858E-6
5020000;1.2522389152280766E-6
5030000;1.2496792747285212E-6
5040000;1.2475003874357071E-6
5050000;1.2439652339324425E-6
5060000;1.2418151422721735E-6
5070000;1.2389611283580848E-6
5080000;1.2355734630986603E-6
5090000;1.233149753865348E-6
5100000;1.2308612982181444E-6
5110000;1.2286889470303208E-6
5120000;1.2274224081565421E-6
5130000;1.2252066206031031E-6
5140000;1.2214300380009036E-6
5150000;1.219108531458346E-6
5160000;1.216694995420653E-6
5170000;1.2155203652497448E-6
5180000;1.213768159757933E-6
5190000;1.2106857747440358E-6
5200000;1.2086115432907718E-6
5210000;1.205876323240318E-6
5220000;1.2032335883205292E-6
5230000;1.2006744656289925E-6
5240000;1.1998296969295552E-6
5250000;1.1958190606620178E-6
5260000;1.194082440925115E-6
5270000;1.1923115810219542E-6
5280000;1.1897111376057978E-6
5290000;1.1893613249824853E-6
5300000;1.1854897703500455E-6
5310000;1.18256181380616E-6
5320000;1.1806068833664085E-6
5330000;1.1794301038037247E-6
5340000;1.176737775665515E-6
5350000;1.1734537670449185E-6
5360000;1.1717370158592644E-6
5370000;1.1696852553200188E-6
5380000;1.1668314758850329E-6
5390000;1.1646038240442635E-6
5400000;1.1633600429661328E-6
5410000;1.1614206520960124E-6
5420000;1.1607627978804658E-6
5430000;1.1575868645863352E-6
5440000;1.1542301789901899E-6
5450000;1.1529779309071841E-6
5460000;1.1510238904222092E-6
5470000;1.1494095675246285E-6
5480000;1.145399912694245E-6
5490000;1.1451675385742988E-6
5500000;1.1414096023898423E-6
5510000;1.1401184094594896E-6
5520000;1.1378207540602148E-6
5530000;1.1358100229230672E-6
5540000;1.1337084462326175E-6
5550000;1.1327323283794044E-6
5560000;1.1312893750670128E-6
5570000;1.1280571383665006E-6
5580000;1.1264845891645336E-6
5590000;1.123142640224728E-6
5600000;1.1232062444577195E-6
5610000;1.1204721559465725E-6
5620000;1.118632451557744E-6
5630000;1.1167200550943335E-6
5640000;1.1148346930056618E-6
5650000;1.1112647726463365E-6
5660000;1.1094110794473977E-6
5670000;1.1083490427665765E-6
5680000;1.1063633129637651E-6
5690000;1.1028839157489756E-6
5700000;1.103423167947426E-6
5710000;1.1002906328272388E-6
5720000;1.0993086974053767E-6
5730000;1.0961923644359217E-6
5740000;1.0959915952568622E-6
5750000;1.0911480403663631E-6
5760000;1.09020129990256E-6
5770000;1.090079106980113E-6
5780000;1.0866521691355047E-6
5790000;1.0864496466922446E-6
5800000;1.082933655638385E-6
5810000;1.0807343775454115E-6
5820000;1.0791144813282472E-6
5830000;1.0784377355577135E-6
5840000;1.0764557885067916E-6
5850000;1.074763912534138E-6
5860000;1.0712014457681107E-6
5870000;1.0696809678023556E-6
5880000;1.0694789462917242E-6
5890000;1.0663610048311511E-6
5900000;1.0642946524086483E-6
5910000;1.0641482441897665E-6
5920000;1.0612998151415809E-6
5930000;1.0590333436866217E-6
5940000;1.0587175802712068E-6
5950000;1.0555559954994465E-6
5960000;1.0544386475075385E-6
5970000;1.0511208730079602E-6
5980000;1.0510661416773814E-6
5990000;1.0491559701009123E-6
6000000;1.0462092934204748E-6
6010000;1.045676050637212E-6
6020000;1.043145750223573E-6
6030000;1.0407437853743318E-6
6040000;1.0399226439972153E-6
6050000;1.0395980627464496E-6
6060000;1.0380895396622236E-6
6070000;1.036048817404378E-6
6080000;1.033134149786008E-6
6090000;1.0310764810839146E-6
6100000;1.03052410782567E-6
6110000;1.0264544645366414E-6
6120000;1.0262939262872806E-6
6130000;1.0266648482470941E-6
6140000;1.0237217482611527E-6
6150000;1.020448332944568E-6
6160000;1.0189633421475719E-6
6170000;1.0195498099108136E-6
6180000;1.0182612912856825E-6
6190000;1.0159928773845195E-6
6200000;1.0132610537283426E-6
6210000;1.0120836337890182E-6
6220000;1.00934473490355E-6
6230000;1.0088315747225352E-6
6240000;1.0082304591207958E-6
6250000;1.00397815394615E-6
6260000;1.0030048454012785E-6
6270000;1.0018151517243723E-6
6280000;1.0011709239421407E-6
6290000;9.98909164273698E-7
6300000;9.962446760880539E-7
6310000;9.960581728307716E-7
6320000;9.954105220089104E-7
6330000;9.933867097799975E-7
6340000;9.911359999392744E-7
6350000;9.90427306390984E-7
6360000;9.89745239543538E-7
6370000;9.859292671166031E-7
6380000;9.852262667919831E-7
6390000;9.847597768342098E-7
6400000;9.81786672404894E-7
6410000;9.798100295554946E-7
6420000;9.788991377490674E-7
6430000;9.785901253778206E-7
6440000;9.75725890306478E-7
6450000;9.737956503386158E-7
6460000;9.74425226729636E-7
6470000;9.708726365076359E-7
6480000;9.704078660632831E-7
6490000;9.679469830103926E-7
6500000;9.674737748710527E-7
6510000;9.6614801137207E-7
6520000;9.639413542927855E-7
6530000;9.609400057897233E-7
6540000;9.611812812337917E-7
6550000;9.591566199063095E-7
6560000;9.568234924373087E-7
6570000;9.560660112484243E-7
6580000;9.566019611995102E-7
6590000;9.541351522202035E-7
6600000;9.515821384198375E-7
6610000;9.505126401521125E-7
6620000;9.495622519395397E-7
6630000;9.475742679398991E-7
6640000;9.456875380564611E-7
6650000;9.46224539610796E-7
6660000;9.449002522643468E-7
6670000;9.422914031276264E-7
6680000;9.417667694577858E-7
6690000;9.377864680359949E-7
6700000;9.379110839091709E-7
6710000;9.35554944625494E-7
6720000;9.346622977801644E-7
6730000;9.356549774963696E-7
6740000;9.325828216333321E-7
6750000;9.318135276714656E-7
6760000;9.280412989198794E-7
6770000;9.286579443212872E-7
6780000;9.254604886876905E-7
6790000;9.252541515181179E-7
6800000;9.232968194439195E-7
6810000;9.225465813500477E-7
6820000;9.195030283848382E-7
6830000;9.210465528042278E-7
6840000;9.198505246388322E-7
6850000;9.171707135990914E-7
6860000;9.158746197002188E-7
6870000;9.138317755841285E-7
6880000;9.13364049281995E-7
6890000;9.123423811985276E-7
6900000;9.109426759579264E-7
6910000;9.083406276033656E-7
6920000;9.069200794797894E-7
6930000;9.081751297657092E-7
6940000;9.068681672275147E-7
6950000;9.02689233583942E-7
6960000;9.026029674785718E-7
6970000;9.006515186982256E-7
6980000;9.010467554304569E-7
6990000;8.974829590613354E-7
7000000;8.983375057169951E-7
7010000;8.967865454678758E-7
7020000;8.93891514586187E-7
7030000;8.931914319276757E-7
7040000;8.923475860456165E-7
7050000;8.911652900067679E-7
7060000;8.909919717581261E-7
7070000;8.88117742903205E-7
7080000;8.868003531503632E-7
7090000;8.867379630572714E-7
7100000;8.842516798779343E-7
