X,Y,
263000,2.39E-05,
264000,2.38E-05,
265000,0.02371,
266000,2.36E-05,
267000,2.35E-05,
268000,2.34E-05,
269000,2.34E-05,
270000,2.33E-05,
271000,2.32E-05,
272000,2.31E-05,
273000,2.30E-05,
274000,2.29E-05,
275000,2.28E-05,
276000,2.28E-05,
277000,2.27E-05,
278000,2.26E-05,
279000,2.25E-05,
280000,2.24E-05,
281000,2.24E-05,
282000,2.23E-05,
283000,2.22E-05,
284000,2.21E-05,
285000,2.20E-05,
286000,2.20E-05,
287000,2.19E-05,
288000,2.18E-05,
289000,2.17E-05,
290000,2.17E-05,
291000,2.16E-05,
292000,2.15E-05,
293000,2.14E-05,
294000,2.14E-05,
295000,2.13E-05,
296000,2.12E-05,
297000,2.12E-05,
298000,2.11E-05,
299000,2.10E-05,
300000,2.09E-05,
301000,2.09E-05,
302000,2.08E-05,
303000,2.07E-05,
304000,2.07E-05,
305000,2.06E-05,
306000,2.05E-05,
307000,2.05E-05,
308000,2.04E-05,
309000,2.03E-05,
310000,2.03E-05,
311000,2.02E-05,
312000,2.01E-05,
313000,2.01E-05,
314000,0.02001,
315000,1.99E-05,
316000,1.99E-05,
317000,1.98E-05,
318000,1.98E-05,
319000,1.97E-05,
320000,1.96E-05,
321000,1.96E-05,
322000,1.95E-05,
323000,1.95E-05,
324000,1.94E-05,
325000,1.93E-05,
326000,1.93E-05,
327000,1.92E-05,
328000,1.92E-05,
329000,1.91E-05,
330000,1.90E-05,
331000,1.90E-05,
332000,1.89E-05,
333000,1.89E-05,
334000,1.88E-05,
335000,1.88E-05,
336000,1.87E-05,
337000,1.86E-05,
338000,1.86E-05,
339000,1.85E-05,
340000,1.85E-05,
341000,1.84E-05,
342000,1.84E-05,
343000,1.83E-05,
344000,1.83E-05,
345000,1.82E-05,
346000,1.82E-05,
347000,1.81E-05,
348000,1.81E-05,
349000,1.80E-05,
350000,1.80E-05,
351000,1.79E-05,
352000,1.78E-05,
353000,1.78E-05,
354000,1.77E-05,
355000,1.77E-05,
356000,1.76E-05,
357000,1.76E-05,
358000,1.76E-05,
359000,1.75E-05,
360000,1.75E-05,
361000,1.74E-05,
362000,1.74E-05,
363000,1.73E-05,
364000,1.73E-05,
365000,1.72E-05,
366000,1.72E-05,
367000,1.71E-05,
368000,1.71E-05,
369000,1.70E-05,
370000,1.70E-05,
371000,1.69E-05,
372000,1.69E-05,
373000,1.68E-05,
374000,1.68E-05,
375000,1.68E-05,
376000,1.67E-05,
377000,1.67E-05,
378000,1.66E-05,
379000,1.66E-05,
380000,1.65E-05,
381000,1.65E-05,
382000,1.64E-05,
383000,1.64E-05,
384000,1.64E-05,
385000,1.63E-05,
386000,1.63E-05,
387000,1.62E-05,
388000,1.62E-05,
389000,1.62E-05,
390000,1.61E-05,
391000,1.61E-05,
392000,1.60E-05,
393000,1.60E-05,
394000,1.59E-05,
395000,1.59E-05,
396000,1.59E-05,
397000,1.58E-05,
398000,1.58E-05,
399000,1.57E-05,
400000,1.57E-05,
401000,1.57E-05,
402000,1.56E-05,
403000,1.56E-05,
404000,1.56E-05,
405000,1.55E-05,
406000,1.55E-05,
407000,1.54E-05,
408000,1.54E-05,
409000,1.54E-05,
410000,1.53E-05,
411000,1.53E-05,
412000,1.53E-05,
413000,1.52E-05,
414000,1.52E-05,
415000,1.51E-05,
416000,1.51E-05,
417000,1.51E-05,
418000,1.50E-05,
419000,1.50E-05,
420000,1.50E-05,
421000,1.49E-05,
422000,1.49E-05,
423000,1.49E-05,
424000,1.48E-05,
425000,1.48E-05,
426000,1.47E-05,
427000,1.47E-05,
428000,1.47E-05,
429000,1.46E-05,
430000,1.46E-05,
431000,1.46E-05,
432000,1.45E-05,
433000,1.45E-05,
434000,1.45E-05,
435000,1.44E-05,
436000,1.44E-05,
437000,1.44E-05,
438000,1.43E-05,
439000,1.43E-05,
440000,1.43E-05,
441000,1.42E-05,
442000,1.42E-05,
443000,1.42E-05,
444000,1.42E-05,
445000,1.41E-05,
446000,1.41E-05,
447000,1.41E-05,
448000,1.40E-05,
449000,1.40E-05,
450000,1.40E-05,
451000,1.39E-05,
452000,1.39E-05,
453000,1.39E-05,
454000,1.38E-05,
455000,1.38E-05,
456000,1.38E-05,
457000,1.37E-05,
458000,1.37E-05,
459000,1.37E-05,
460000,1.37E-05,
461000,1.36E-05,
462000,1.36E-05,
463000,1.36E-05,
464000,1.35E-05,
465000,1.35E-05,
466000,1.35E-05,
467000,1.35E-05,
468000,1.34E-05,
469000,1.34E-05,
470000,1.34E-05,
471000,1.33E-05,
472000,1.33E-05,
473000,1.33E-05,
474000,1.33E-05,
475000,1.32E-05,
476000,1.32E-05,
477000,1.32E-05,
478000,1.31E-05,
